artifact,calibration_diagnosis,chain_coverage,d1_delta,d1_first,d1_last,d1_trend,diamond_size_case,e_al_emax_gpa,min_chain_length,mu_scale,p95_mpa,participation_delta,participation_first,participation_last,participation_trend,seed_index,source_run_id,status,threshold_factor,trend_score,zhang_stage_status
dia60al40-dem-artifacts-sizeC-Emax41.686-mu0.654-seed0,needs_participation_increase,1.0,-0.9867906500075595,0.9867906500075595,0.0,decreasing,C,41.686,2.0,0.654,556.015968,-0.21544271270696247,0.7668356814474137,0.5513929687404512,decreasing,0.0,27874059503,review,0.05,1,review
dia60al40-dem-artifacts-sizeC-Emax41.686-mu0.654-seed1,needs_participation_increase,1.0,-0.7736347232171241,0.7736347232171241,0.0,decreasing,C,41.686,2.0,0.654,525.814055,-0.012653689614981478,0.6255823057075758,0.6129286160925943,decreasing,1.0,27874059503,review,0.1,1,review
dia60al40-dem-artifacts-sizeC-Emax41.686-mu0.654-seed2,candidate_pass,1.0,-1.261288150403609,1.261288150403609,0.0,decreasing,C,41.686,2.0,0.654,558.684605,0.30506697661608184,0.2585339547619663,0.5636009313780481,increasing,2.0,27874059503,pass,0.05,2,pass
dia60al40-dem-artifacts-sizeC-Emax41.686-mu0.885-seed0,candidate_pass,1.0,-0.5958870050824611,0.5958870050824611,0.0,decreasing,C,41.686,2.0,0.885,549.8724,0.20787630897755938,0.5069089781955748,0.7147852871731342,increasing,0.0,27874059503,pass,0.25,2,pass
dia60al40-dem-artifacts-sizeC-Emax41.686-mu0.885-seed1,needs_d1_decrease,0.8333333333333334,0.7610233540348261,0.0,0.7610233540348261,increasing,C,41.686,2.0,0.885,629.598167,0.9269257793150345,0.0,0.9269257793150345,increasing,1.0,27874059503,review,2.0,1,review
dia60al40-dem-artifacts-sizeC-Emax41.686-mu0.885-seed2,needs_participation_increase,1.0,-0.18771267109840029,0.18771267109840029,0.0,decreasing,C,41.686,2.0,0.885,630.318319,-0.06088319438739831,0.8645396388563089,0.8036564444689106,decreasing,2.0,27874059503,review,0.75,1,review
dia60al40-dem-artifacts-sizeC-Emax44.772-mu0.654-seed0,needs_participation_increase,1.0,-0.9867906500075595,0.9867906500075595,0.0,decreasing,C,44.772,2.0,0.654,586.07238,-0.20953527068793742,0.7668356814474137,0.5573004107594762,decreasing,0.0,27874059503,review,0.05,1,review
dia60al40-dem-artifacts-sizeC-Emax44.772-mu0.654-seed1,needs_participation_increase,1.0,-0.7736347232171241,0.7736347232171241,0.0,decreasing,C,44.772,2.0,0.654,658.476536,-0.05937135056703613,0.6255823057075758,0.5662109551405397,decreasing,1.0,27874059503,review,0.1,1,review
dia60al40-dem-artifacts-sizeC-Emax44.772-mu0.654-seed2,candidate_pass,1.0,-1.261288150403609,1.261288150403609,0.0,decreasing,C,44.772,2.0,0.654,634.203315,0.3320030432514447,0.2585339547619663,0.590536998013411,increasing,2.0,27874059503,pass,0.05,2,pass
dia60al40-dem-artifacts-sizeC-Emax44.772-mu0.885-seed0,candidate_pass,1.0,-0.5958870050824611,0.5958870050824611,0.0,decreasing,C,44.772,2.0,0.885,638.890507,0.158126367173532,0.5069089781955748,0.6650353453691068,increasing,0.0,27874059503,pass,0.25,2,pass
